Payout ID,Opponent class,Opponent subrank,Difficulty,Finish position,Estimated REP,Basis,Source,Confidence
RP-049,B,3,Green,1,200,Approximate first-place award,LA01 p.5,A
RP-050,B,3,Yellow,1,220,Approximate first-place award,LA01 p.5,A
RP-051,B,3,Orange,1,230,Approximate first-place award,LA01 p.5,A
RP-052,B,3,Red,1,250,Approximate first-place award,LA01 p.5,A
RP-053,B,4,Green,1,210,Approximate first-place award,LA01 p.5,A
RP-054,B,4,Yellow,1,230,Approximate first-place award,LA01 p.5,A
RP-055,B,4,Orange,1,240,Approximate first-place award,LA01 p.5,A
RP-056,B,4,Red,1,260,Approximate first-place award,LA01 p.5,A
RP-057,B,5,Green,1,220,Approximate first-place award,LA01 p.5,A
RP-058,B,5,Yellow,1,240,Approximate first-place award,LA01 p.5,A
RP-059,B,5,Orange,1,250,Approximate first-place award,LA01 p.5,A
RP-060,B,5,Red,1,270,Approximate first-place award,LA01 p.5,A
RP-061,A,1,Green,1,230,Approximate first-place award,LA01 p.5,A
RP-062,A,1,Yellow,1,250,Approximate first-place award,LA01 p.5,A
RP-063,A,1,Orange,1,260,Approximate first-place award,LA01 p.5,A
RP-064,A,1,Red,1,280,Approximate first-place award,LA01 p.5,A
RP-065,A,2,Green,1,240,Approximate first-place award,LA01 p.5,A
RP-066,A,2,Yellow,1,260,Approximate first-place award,LA01 p.5,A
RP-067,A,2,Orange,1,270,Approximate first-place award,LA01 p.5,A
RP-068,A,2,Red,1,290,Approximate first-place award,LA01 p.5,A
RP-069,A,3,Green,1,250,Approximate first-place award,LA01 p.5,A
RP-070,A,3,Yellow,1,270,Approximate first-place award,LA01 p.5,A
RP-071,A,3,Orange,1,280,Approximate first-place award,LA01 p.5,A
RP-072,A,3,Red,1,300,Approximate first-place award,LA01 p.5,A
RP-073,A,4,Green,1,260,Approximate first-place award,LA01 p.5,A
RP-074,A,4,Yellow,1,280,Approximate first-place award,LA01 p.5,A
RP-075,A,4,Orange,1,290,Approximate first-place award,LA01 p.5,A
RP-076,A,4,Red,1,310,Approximate first-place award,LA01 p.5,A
RP-077,A,5,Green,1,270,Approximate first-place award,LA01 p.5,A
RP-078,A,5,Yellow,1,290,Approximate first-place award,LA01 p.5,A
RP-079,A,5,Orange,1,300,Approximate first-place award,LA01 p.5,A
RP-080,A,5,Red,1,320,Approximate first-place award,LA01 p.5,A
