Game,Edition,Manufacturer,Vehicle,Category,Class,Original Value,REMIX Value,Acquisition Type,Unlock / Acquisition,Stock Accel,Stock Top Speed,Stock Handling,Max Accel,Max Top Speed,Max Handling,Stock Composite,Max Composite,Composite Gain,Gain %,Max Speed Percentile (Class),Starter?,Stats Source,Unlock Source,Confidence,Notes
Midnight Club 3: DUB Edition,REMIX only,Hummer,H3T,SUV / Trucks,C,,52000,Prize,Win Tokyo Big Playas Tournament,8,34,32,16.6,51.7,47,24.667,38.433,13.767,0.558,0.212,No,S1,S2,C,
Midnight Club 3: DUB Edition,Original + REMIX,Cadillac,Escalade EXT,SUV / Trucks,C,53240,53240,Prize,Win Atlanta DUB Tournament,9.6,34,27.3,18.3,51.7,43.5,23.633,37.833,14.2,0.601,0.212,No,S1; S6,S2,B,
Midnight Club 3: DUB Edition,Original + REMIX,Cadillac,Escalade,SUV / Trucks,C,55535,55535,Purchase,Unlock Class C license after 11 San Diego street races,9.6,34,28.6,18.3,51.7,47,24.067,39,14.933,0.62,0.212,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Hummer,H2,SUV / Trucks,C,56040,56040,Purchase,Unlock Class C license after 11 San Diego street races,10.1,31.2,31.2,19.7,49.7,46.2,24.167,38.533,14.367,0.594,0.061,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Mercedes-Benz,G500,SUV / Trucks,C,76000,76000,Purchase,Unlock Class C license after 11 San Diego street races,12,34.7,39.2,22,55.2,51.7,28.633,42.967,14.333,0.501,0.242,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Mercedes-Benz,G55 AMG,SUV / Trucks,C,114000,114000,Prize,Complete Big Playas club,25.7,62.4,51.2,25.7,62.4,51.2,46.433,46.433,0,0,0.667,No,S1; S6,S2,B,
Midnight Club 3: DUB Edition,Original + REMIX,Lexus,SC430,Luxury Sedans,C,63500,63500,Purchase,Unlock Class C license after 11 San Diego street races,14.8,37.5,47.7,26.7,57.5,59.9,33.333,48.033,14.7,0.441,0.333,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,REMIX only,Dodge,Super 8 Hemi,Luxury Sedans,C,,75000,Purchase,Unlock Class C license after 11 San Diego street races,21.1,41.2,34,32.9,58.2,56,32.1,49.033,16.933,0.528,0.364,No,S1,S1,C,
Midnight Club 3: DUB Edition,REMIX only,Cadillac,XLR,Luxury Sedans,C,,75835,Purchase,Unlock Class C license after 11 San Diego street races,17.5,42.5,44.2,33,61,58.2,34.733,50.733,16,0.461,0.515,No,S1,S1,C,
Midnight Club 3: DUB Edition,Original + REMIX,Mercedes-Benz,CL500,Luxury Sedans,C,90620,90620,Purchase,Unlock Class C license after 11 San Diego street races,15.6,43.2,49,32.2,64.5,59,35.933,51.9,15.967,0.444,0.909,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Volkswagen,Phaeton,Luxury Sedans,C,97233,97233,Purchase,Unlock Class C license after 11 San Diego street races,13.8,42.5,39.2,30.6,61.7,56,31.833,49.433,17.6,0.553,0.576,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Mercedes-Benz,CL55 AMG,Luxury Sedans,C,141000,141000,Prize,Complete Luxury Rollers club,37.9,69.5,49,37.9,69.5,60.4,52.133,55.933,3.8,0.073,1,No,S1; S6,S2,B,
Midnight Club 3: DUB Edition,REMIX only,Dodge,06 Charger SRT8,Tuners,B,,35995,Prize,Win Tokyo Wharf Tournament,24.7,55.2,49,38.7,73,65,42.967,58.9,15.933,0.371,0.48,No,S1,S2,C,
Midnight Club 3: DUB Edition,Original + REMIX,Chevrolet,Corvette Z06,Tuners,B,51925,51925,Purchase,Unlock Class B license after 11 Atlanta street races,27,57.5,57.5,44.4,78.6,69.3,47.333,64.1,16.767,0.354,0.76,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Dodge,Charger R/T Concept,Tuners,B,60000,60000,Purchase,Unlock Class B license after 11 Atlanta street races,29.6,56.7,56,44.5,75.9,67.8,47.433,62.733,15.3,0.323,0.6,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Lotus,Esprit,Tuners,B,93225,93225,Purchase,Unlock Class B license after 11 Atlanta street races,26.5,61,65.4,44.7,80,71.6,50.967,65.433,14.467,0.284,0.84,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Dodge,Viper GTS-R,Tuners,B,152000,152000,Purchase,Unlock Class B license after 11 Atlanta street races,40.2,68,51.2,65,83,62.7,53.133,70.233,17.1,0.322,0.92,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Saleen,SR,Tuners,B,174000,174000,Purchase,Unlock Class B license after 11 Atlanta street races,29.5,66,63,54.4,82.3,71.3,52.833,69.333,16.5,0.312,0.88,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Ducati,04 Monster S4R,Sport Bikes,B,13495,13495,Purchase,Unlock Class B license after 11 Atlanta street races,40,60.2,74.9,70.8,76.5,74.9,58.367,74.067,15.7,0.269,0.72,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Ducati,04 SS1000,Sport Bikes,B,12200,10995,Prize,Win Atlanta Hotlanta Tournament,40,58.9,80,61.5,75.1,80,59.633,72.2,12.567,0.211,0.56,No,S1; S6,S2,B,"Original price $12,200; REMIX price $10,995."
Midnight Club 3: DUB Edition,REMIX only,Ducati,Paul Smart 1000,Sport Bikes,B,,13995,Prize,Win Tokyo Original Riders Tournament,46.7,59.5,81,70.1,87.1,81,62.4,79.4,17,0.272,1,No,S1,S2,C,
Midnight Club 3: DUB Edition,Original + REMIX,Pontiac,70 GTO,Muscle Cars,B,48000,48000,Purchase,Unlock Class B license after 11 Atlanta street races,22.1,49,32,43,73,47.4,34.367,54.467,20.1,0.585,0.48,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Chevrolet,69 Camaro Z28,Muscle Cars,B,49900,49900,Purchase,Unlock Class B license after 11 Atlanta street races,21.7,48.2,34,44.2,70.1,51.2,34.633,55.167,20.533,0.593,0.24,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Chevrolet,81 Camaro Z28,Muscle Cars,B,54000,54000,Purchase,Unlock Class B license after 11 Atlanta street races,23,49.7,36.4,47.7,75.1,52.7,36.367,58.5,22.133,0.609,0.56,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,REMIX only,Chevrolet,63 Corvette,Muscle Cars,B,,55000,Purchase,Unlock Class B license after 11 Atlanta street races,25.3,45,31.2,45.4,70.9,54.7,33.833,57,23.167,0.685,0.36,No,S1,S1,C,
Midnight Club 3: DUB Edition,Original + REMIX,Chevrolet,68 Corvette,Muscle Cars,B,56000,56000,Prize,Complete American Royalty Car Club,25.6,51.7,34,48.5,76.5,57,37.1,60.667,23.567,0.635,0.72,No,S1; S6,S2,B,
Midnight Club 3: DUB Edition,Original + REMIX,Hotmatch,Skully,Choppers,B,65000,65000,Prize,Complete Chopper of America Bike Club,46.7,58.2,60,66.3,70.1,60,54.967,65.467,10.5,0.191,0.24,No,S1; S6,S2,B,
Midnight Club 3: DUB Edition,Original + REMIX,Hotmatch,D Elegance,Choppers,B,80000,80000,Purchase,Unlock Class B license after 11 Atlanta street races,46.7,58.9,54.9,68.5,71.5,54.9,53.5,64.967,11.467,0.214,0.4,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,West Coast Choppers,El Diablo Rigid,Choppers,B,100000,100000,Purchase,Unlock Class B license after 11 Atlanta street races,48,56.7,47.4,67.4,70.9,47.4,50.7,61.9,11.2,0.221,0.36,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,REMIX only,Hotmatch,V-Lux,Choppers,B,,125000,Purchase,Unlock Class B license after 11 Atlanta street races,46.7,57.5,57.2,66.3,70.9,57.2,53.8,64.8,11,0.204,0.36,No,S1,S1,C,
Midnight Club 3: DUB Edition,Original + REMIX,Chevrolet,Silverado SS,SUV / Trucks,B,40755,40755,Purchase,Unlock Class B license after 11 Atlanta street races,19.8,41.2,29.7,32,58.2,42.2,30.233,44.133,13.9,0.46,0.04,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Dodge,Ram SRT10,SUV / Trucks,B,45850,45850,Purchase,Unlock Class B license after 11 Atlanta street races,20.2,44.7,32,35.7,61,46.2,32.3,47.633,15.333,0.475,0.08,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,REMIX only,Gemballa,GT 750,SUV / Trucks,B,,360000,Purchase,Unlock Class B license after 11 Atlanta street races,41.5,69.5,56.7,41.5,69.5,56.7,55.9,55.9,0,0,0.16,No,S1,S1,C,
Midnight Club 3: DUB Edition,REMIX only,Mercedes-Benz,CLS55 AMG,Luxury Sedans,B,,87320,Purchase,Unlock Class B license after 11 Atlanta street races,31.1,63,61,31.1,63,61,51.7,51.7,0,0,0.12,No,S1,S1,C,
Midnight Club 3: DUB Edition,Original + REMIX,Mercedes-Benz,SL500,Luxury Sedans,B,90620,90620,Purchase,Unlock Class B license after 11 Atlanta street races,23.3,51.7,57.2,37.4,76.5,64.5,44.067,59.467,15.4,0.349,0.72,No,S1; S6,S1,B,Vehicle-list source shows stock acceleration 23.3; 2005 Neoseeker database shows 23.4.
Midnight Club 3: DUB Edition,Original + REMIX,Mercedes-Benz,SL55 AMG,Luxury Sedans,B,135000,135000,Prize,Win San Diego DUB Tournament,43.7,80,69.1,43.7,80,69.1,64.267,64.267,0,0,0.84,No,S1; S6,S2,B,
Midnight Club 3: DUB Edition,Original + REMIX,Cadillac,Sixteen,Luxury Sedans,B,250000,250000,Prize,Attain 100% U.S. Career completion,38.7,66,37.2,51,87.1,49.2,47.3,62.433,15.133,0.32,1,No,S1; S6,S2,B,
Midnight Club 3: DUB Edition,Original + REMIX,Kawasaki,Ninja ZX 12R,Sport Bikes,A,10999,10999,Prize,Complete Original Riders club,60,85.5,87.4,93.6,100,87.4,77.633,93.667,16.033,0.207,1,No,S1; S6,S2,B,Vehicle-list source shows stock top speed 85.5; 2005 Neoseeker database shows 85.8.
Midnight Club 3: DUB Edition,Original + REMIX,Aprilia,Mille Factory,Sport Bikes,A,17899,17899,Purchase,Unlock Class A license after 11 Detroit street races,51.7,85,100,90.2,99.1,100,78.9,96.433,17.533,0.222,0.933,No,S1; S6,S1,B,Vehicle-list source shows max acceleration 90.2; 2005 Neoseeker database shows 90.3.
Midnight Club 3: DUB Edition,Original + REMIX,Ducati,999R,Sport Bikes,A,29995,31495,Purchase,Unlock Class A license after 11 Detroit street races,48.2,84.4,97.1,87,96.4,97.1,76.567,93.5,16.933,0.221,0.733,No,S1; S6,S1,B,"Original price $29,995; REMIX price $31,495."
Midnight Club 3: DUB Edition,Original + REMIX,Cadillac,Cien,Exotics,A,135000,135000,Prize,Win Detroit City Tournament,62,88.5,69.5,62,88.5,69.5,73.333,73.333,0,0,0.067,No,S1; S6,S2,B,
Midnight Club 3: DUB Edition,REMIX only,Lamborghini,98 Diablo,Exotics,A,,138000,Purchase,Unlock Class A license after 11 Detroit street races,55,90.6,79.3,55,90.6,79.3,74.967,74.967,0,0,0.267,No,S1,S1,C,
Midnight Club 3: DUB Edition,Original + REMIX,Gemballa,Turbo Coupe,Exotics,A,140000,140000,Purchase,Unlock Class A license after 11 Detroit street races,66.1,90.6,72.6,66.1,90.6,72.6,76.433,76.433,0,0,0.267,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Chrysler,ME Four-Twelve,Exotics,A,240000,240000,Prize,Complete By Invitation Only club,91.6,95.6,91.1,91.6,95.6,91.1,92.767,92.767,0,0,0.667,No,S1; S6,S2,B,
Midnight Club 3: DUB Edition,Original + REMIX,Lamborghini,Gallardo,Exotics,A,184100,184100,Purchase,Unlock Class A license after 11 Detroit street races,58.5,90.6,79.3,58.5,90.6,79.3,76.133,76.133,0,0,0.267,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,REMIX only,Gemballa,98 F355,Exotics,A,,200000,Prize,Win Tokyo By Invitation Only Tournament,76.9,94.3,80.6,76.9,94.3,80.6,83.933,83.933,0,0,0.533,No,S1,S2,C,
Midnight Club 3: DUB Edition,Original + REMIX,McLaren,95 F1 LM,Exotics,A,250000,250000,Purchase,Unlock Class A license after 11 Detroit street races,99.9,97,89.3,99.9,97,89.3,95.4,95.4,0,0,0.867,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Lamborghini,Murcielago,Exotics,A,297700,297700,Prize,Complete U.S. Championship Series,70.1,95,86.9,70.1,95,86.9,84,84,0,0,0.6,No,S1; S6,S2,B,
Midnight Club 3: DUB Edition,Original + REMIX,Saleen,S7,Exotics,A,375000,375000,Purchase,Unlock Class A license after 11 Detroit street races,84.5,94.3,93.3,84.5,94.3,93.3,90.7,90.7,0,0,0.533,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,REMIX only,Pagani,Zonda C 12 S,Exotics,A,,325000,Prize,Win Tokyo Imperial Palace Tournament,90.1,94.3,91.1,90.1,94.3,91.1,91.833,91.833,0,0,0.533,No,S1,S2,C,
Midnight Club 3: DUB Edition,Original + REMIX,Mercedes-Benz,CLK-GTR,Exotics,A,725000,725000,Purchase,Unlock Class A license after 11 Detroit street races,75.1,97,74.4,75.1,97,74.4,82.167,82.167,0,0,0.867,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Mercedes-Benz / McLaren,SLR McLaren,Exotics,A,452750,452750,Purchase,Unlock Class A license after 11 Detroit street races,82.6,92.9,66.4,82.6,92.9,66.4,80.633,80.633,0,0,0.333,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Kawasaki,Police 1000,Specialty,Specialty,0,0,Specialty unlock,Complete both Original Riders and Chopper of America clubs,58.2,99.1,87.4,58.2,99.1,87.4,81.567,81.567,0,0,,No,S1; S6,S2,B,
Midnight Club 3: DUB Edition,Original + REMIX,Chevrolet,San Diego Cop,Specialty,Specialty,0,0,Specialty unlock,Wiki: beat Vanessa rematch. Older GameFAQs: win all San Diego tournaments.,32,63.7,48.2,32,63.7,48.2,47.967,47.967,0,0,,No,S1; S6,S2; S4,D,Unlock-condition conflict preserved.
Midnight Club 3: DUB Edition,Original + REMIX,Chevrolet,Atlanta Cop,Specialty,Specialty,0,0,Specialty unlock,Wiki: beat Cheng or Naomi plus Roy's first rematch. Older GameFAQs: win all Atlanta tournaments.,37.7,70.1,54.9,37.7,70.1,54.9,54.233,54.233,0,0,,No,S1; S6,S2; S4,D,Unlock-condition conflict preserved.
Midnight Club 3: DUB Edition,Original + REMIX,Chevrolet,Detroit Cop,Specialty,Specialty,0,0,Specialty unlock,Wiki: beat all Detroit racers.,44.7,76.5,67.4,44.7,76.5,67.4,62.867,62.867,0,0,,No,S1; S6,S2; S4,D,
Midnight Club 3: DUB Edition,REMIX only,Nissan,Tokyo Cop,Specialty,Specialty,,0,Specialty unlock,Win all Tokyo Challenge tournaments,45.7,73,69,45.7,73,69,62.567,62.567,0,0,,No,S1,S2,C,
